hello|xin chào|noun
goodbye | tạm biệt | noun
run | chạy | verb
hi | chào | interjection
book | sách | noun
read | đọc | verb
water | nước | noun
eat | ăn | verb
friend | bạn | noun
laugh | cười | verb
happy | hạnh phúc | adjective
sad | buồn | adjective
play | chơi | verb
work | làm việc | verb
school | trường học | noun
teach | dạy | verb
learn | học | verb
family | gia đình | noun
love | yêu | verb
car | xe hơi | noun
travel | du lịch | verb
city | thành phố | noun
house | ngôi nhà | noun
sing | hát | verb
dance | nhảy | verb
beautiful | đẹp | adjective
quick | nhanh | adjective
slow | chậm | adjective
big | to | adjective
small | nhỏ | adjective
sun | mặt trời | noun
moon | mặt trăng | noun
star | ngôi sao | noun
sky | bầu trời | noun
tree | cái cây | noun
flower | hoa | noun
grass | cỏ | noun
beach | bãi biển | noun
mountain | núi | noun
cold | lạnh | adjective
hot | nóng | adjective
rain | mưa | noun
snow | tuyết | noun
wind | gió | noun
storm | bão | noun
animal | động vật | noun
dog | chó | noun
cat | mèo | noun
bird | chim | noun
fish | cá | noun
pet | thú cưng | noun
food | thực phẩm | noun
fruit | trái cây | noun
vegetable | rau củ | noun
cook | nấu ăn | verb
bake | nướng | verb
breakfast | bữa sáng | noun
lunch | bữa trưa | noun
dinner | bữa tối | noun
coffee | cà phê | noun
tea | trà | noun
juice | nước trái cây | noun
cake | bánh | noun
cookie | bánh quy | noun
sweet | ngọt | adjective
sour | chua | adjective
salty | mặn | adjective
bitter | đắng | adjective
healthy | khỏe mạnh | adjective
doctor | bác sĩ | noun
nurse | y tá | noun
patient | bệnh nhân | noun
medicine | thuốc | noun
hospital | bệnh viện | noun
emergency | khẩn cấp | noun
funny | hài hước | adjective
serious | nghiêm túc | adjective
kind | tốt bụng | adjective
angry | tức giận | adjective
afraid | sợ hãi | adjective
brave | dũng cảm | adjective
smart | thông minh | adjective
stupid | ngu ngốc | adjective
quiet | im lặng | adjective
loud | to | adjective
bright | sáng | adjective
dark | tối | adjective
strong | mạnh mẽ | adjective
weak | yếu | adjective
rich | giàu có | adjective
poor | nghèo | adjective
clean | sạch | adjective
dirty | bẩn | adjective
friend | bạn bè | noun
phone | điện thoại | noun
internet | internet | noun
computer | máy tính | noun
keyboard | bàn phím | noun
screen | màn hình | noun
mouse | chuột | noun
game | trò chơi | noun
win | thắng | verb
